,year,breed,dog,owner(s),group,BIS
68,1955,English Springer Spaniel,Ch. King Peter of Salilyn,Mrs. F. H. Gasow,Sporting,False
69,1954,Cocker Spaniel (A.S.C.O.B.),Ch. Carmor’s Rise & Shine,Mrs. Carl E. Morgan,Sporting,True
70,1953,Irish Setter,Ch. Thenderin Brain Tristan,Mr. & Mrs. J. R. Fraser,Sporting,False
71,1952,English Setter,Ch. Rock Falls Colonel,William T. Holt,Sporting,False
72,1951,Pointer,Ch. Captain Speck,Charles Palmer,Sporting,False
73,1950,Pointer,C P,Charles Palmer,Sporting,False
74,1949,Irish Setter,Ch. Knightscroft Symphony,Miss Helen Naylor,Sporting,False
75,1948,English Springer Spaniel,Ch. Frejax Royal Salute,Fred Jackson,Sporting,False
76,1947,Pointer,Ch. Beacon’s Game Lad,Leo A. Dunn,Sporting,False
77,1946,EnglishSetter,Ch. Prune’s Own Palmer,Prune’s Own Kennels,Sporting,False
78,1945,Cocker Spaniel (Black),Ch. Stockdale Town Talk,C. B. Van Meter,Sporting,False
79,1944,Irish Setter,Ch. Kleiglight of Aragon,Aragon Kennels,Sporting,False
80,1943,Irish Water Spaniel,Ch. Mahoney’s O’Toole,Mrs. Charles M. Wynns,Sporting,False
81,1942,English Springer Spaniel,Ch. Timpanogos Melinda,R. E. Allen,Sporting,False
82,1941,Cocker Spaniel (Black),Ch. My Own Brucie,H. E. Mellenthin,Sporting,True
83,1940,Cocker Spaniel (Black),Ch. My Own Brucie,H. E. Mellenthin,Sporting,True
84,1939,Cocker Spaniel (Black),Ch. My Own Brucie,H. E. Mellenthin,Sporting,False
85,1938,English Setter,Daro of Maridor,Maridor Kennels,Sporting,True
86,1937,Cocker Spaniel (Parti-Color),Ch. Torohill Smoky,Peter Dunne Garvan,Sporting,False
87,1936,Irish Setter,Ch. Milson O’Boy,Mrs. Cheever Porter,Sporting,False
88,1935,Pointer,Ch. Nancolleth Marquis,Giralda Farms,Sporting,False
89,1934,Pointer,Ch. Benson of Crombie,Giralda Farms,Sporting,False
90,1933,English Springer Spaniel,Ch. Norman of Hamsey,Blue Leader Kennels,Sporting,False
91,1932,Pointer,Nancolleth Markable,Giralda Farms,Sporting,True
92,1931,English Setter,Ch. Blue Dan of Happy Valley,Happy Valley Kennels,Sporting,False
93,1930,Irish Setter,Ch. Delawne Kate,Ernest W. Snoot,Sporting,False
94,1929,Pointer,Ch. Herewithem JP,Robert F. Maloney,Sporting,False
95,1928,Beagle (15″),Meadowlark Fearnot,Gustave M. Mosler,Sporting,False
96,1927,Pointer,Ch. Dapple Joe,Rumson Farm Kennels,Sporting,False
97,1926,Pointer,Ch. Nancolleth Belle,W. T. Payne,Sporting,False
98,1925,Pointer,Ch. Governor Moscow,Robert F. Maloney,Sporting,True
99,1924,Cocker Spaniel (Parti-Color),Ch. Midkiff Miracle Man,W. T. Payne,Sporting,False
0,2023,Giant Schnauzer,GCH CH Hearthmore's Wintergreen Mountain RN CGC TKN,Katherine Bernardin & Cherlann Ambrose & Sandra Nordstrom,Working,False
1,2022,Samoyed,GCHP CH Vanderbilt 'N Printemp's Lucky Strike,Correen R Pacht & Marc Ralsky & Judi Elford & Blair Elford,Working,False
2,2021,Samoyed,GCHG CH Vanderbilt 'N Printemp's Lucky Strike,Correen R Pacht & Marc Ralsky & Judi Elford & Blair Elford,Working,False
3,2020,Boxer,GCh. Cinnibon's Bedrock Bombshell,Keith & Cheryl Robbins & Bonnie Wagaman & Debbie Caywood,Working,False
4,2019,Boxer,GCh. Cinnibon's Bedrock Bombshell,Keith & Cheryl Robbins & Bonnie Wagaman & Debbie Caywood,Working,False
