,year,breed,dog,owner(s),group,BIS
453,1964,Maltese,Ch. Co-Ca-He’s Aennchen Toy Dancer,Anne Maria Stimmler,Toy,False
454,1963,Miniature Pinscher,Ch. Rebel Rod’s Casanova Von Kurt,"E. W. Tipton, Jr.",Toy,False
455,1962,Pomeranian,Ch. Pixietown Seranade of Hadleigh,Ruth Belleck & Lady Florence Conyers,Toy,False
456,1961,Poodle (Toy),Ch. Cappoquin Little Sister,Florence Michelson,Toy,True
457,1960,Pekingese,Ch. Chik T’Sun of Caversham,Mr. & Mrs. C. C. Venable,Toy,True
458,1959,Pekingese,Ch. Chik T’Sun of Caversham,Mr. & Mrs. C. C. Venable,Toy,False
459,1958,Pug,Ch. Pugholm’s Peter Pumpkin Eater,Frederic & Elizabeth Soderberg,Toy,False
460,1957,Pekingese,Ch. Chik T’Sun of Caversham,Mr. & Mrs. C. C. Venable,Toy,False
461,1956,Poodle (Toy),Ch. Wilber White Swan,Bertha Smith,Toy,True
462,1955,Yorkshire Terrier,Ch. Star Twilight of Clu-Mor,"Mrs. L. S. Gordon, Jr. & Janet Bennett",Toy,False
463,1954,Yorkshire Terrier,Ch. Star Twilight of Clu-Mor,"Mrs. L. S. Gordon, Jr. & Janet Bennett",Toy,False
464,1953,Pug,Ch. Pugville’s Mighty Jim,Pugville Kennels,Toy,False
465,1952,Brussels Griffon,Ch. All Celia’s Beau Brumml,Iris de la Torre Bueno,Toy,False
466,1951,Poodle (Toy),Ch. Cartlane Once,Mrs. Charles R. Fleishman,Toy,False
467,1950,Poodle (Toy),Ch. Cartlane Once,Mrs. Charles R. Fleishman,Toy,False
468,1949,Miniature Pinscher,Ch. Rajah v Siegenburg,Mrs. William O. Bagshaw,Toy,False
469,1948,Pomeranian,Pomwin Doreen,Mrs. Blossom M. Sandy,Toy,False
470,1947,Pomeranian,Ch. Little Tim Stepper,Mrs. V. Matta,Toy,False
471,1946,Pekingese,Ch. Jai Son Fu of Orchard Hill,Mrs. Richard S. Quigley,Toy,False
472,1945,Pug,Ch. Udalia’s Mei-Ling,Dorothy F. Wagstaff,Toy,False
473,1944,Yorkshire Terrier,Ch. Millbarry’s Sho-Show,Vera Zorina,Toy,False
474,1943,Pekingese,Beh Tang,Dorothy P Lathrop,Toy,False
475,1942,Pomeranian,Ch. Moneybox Currency,Mrs. V. Matta,Toy,False
476,1941,Miniature Pinscher,Ch. King Eric v Konigsbach,Wm. O. Bagshaw,Toy,False
477,1940,Brussels Griffon,Ch. Burlingame Hellzapoppin,Rosalind Layte,Toy,False
478,1939,Yorkshire Terrier,Ch. Miss Wynsum,Arthur Mills,Toy,False
479,1938,Pekingese,Kai Lo of Dah Lyn,John B. Royce,Toy,False
480,1937,Pekingese,Tang Hao of Caversham Catawba,Mrs. James W. Austin,Toy,False
481,1936,Pomeranian,Ch. Salisburgy Sensation,Mrs. Andres W. Rose,Toy,False
482,1935,Pomeranian,Wonder Son,Miss E. G. Hydon,Toy,False
483,1934,Pekingese,Wee Foo of Kingswere,Mrs. Ralph Boalt,Toy,False
484,1933,Pekingese,Pierrot of Hartleburg,Mrs. Richard S. Quigley,Toy,False
485,1932,Japanese Spaniel,Ch. KeurvannaTiti,Keurvanna Kennels,Toy,False
486,1931,Pomeranian,Sealand Career,Radiant Kennels,Toy,False
487,1930,Pekingese,Fuchow Paladin of Alderbourne,Ray M. Cushman,Toy,False
488,1929,Pekingese,Ch. King Pippin of Greystones,Mrs. C. Hager,Toy,False
489,1928,Pomeranian,Ch. Bogota Firebug,Miss E. G. Hydon,Toy,False
490,1927,Pomeranian,Ch. Little Rajah,Mrs. V. Matta,Toy,False
491,1926,Pomeranian,Glen Rose Flashaway,Joseph Greenwood,Toy,False
492,1925,Brussels Griffon,Sunny Mede Petite Poilu,Mrs. William H. Goff,Toy,False
493,1924,Pekingese,Ch. Glen Iris Dai Dream,Mrs. Sidney Franc,Toy,False
494,2023,French Bulldog,GCHP CH Fox Canyon's I Won the War at Goldshield CGCA CGCU TKN,Sandy Fox & Alex Vorbeck & Alex Geremia & Felicia Cashin & M Fox & P Payson,Non-Sporting,False
495,2022,French Bulldog,GCHP CH Fox Canyon's I Won the War at Goldshield CGCA CGCU TKN,Sandy Fox & Morgan Fox & Perry Payson & Alexandra Vorbeck,Non-Sporting,False
496,2021,French Bulldog,GCHP CH Chaselands Mathew Moss,Nancy Shaw & Chad Howard,Non-Sporting,False
497,2020,Standard Poodle,GCHP CH Stone Run Afternoon Tea,Connie S Unger & William Lee,Non-Sporting,True
498,2019,Schipperke,GCh. Rivendel's Barefoot Bandit,S Middlebrooks & W & T Truesdale & A Halterman,Non-Sporting,False
499,2018,Bichon Frise,GCh. Belle Creek’s All I Care About Is Love,Patrina & Bruce Odette & Lindsay Van Keuren & Lorrie Carlton & Larry Letsche DVM,Non-Sporting,True
500,2017,Poodle (Miniature),GCh. Danfour Avalon As If,Daniel Chavez & James Moses & Janet Moses,Non-Sporting,False
501,2016,Bulldog,GCh. Imperious Hamitup Southern Bell,Ellen Charles & Imperious & Hamitup & Hetherbull,Non-Sporting,False
502,2015,Poodle (Standard),GCh. Dawin Hearts On Fire,Linda C. Campbell,Non-Sporting,False
503,2014,Poodle (Standard),GCh. Brighton Lakeridge Encore,Toni Sosnoff & Martin Sosnoff,Non-Sporting,False
504,2013,Bichon Frise,GCh. Vogelflight’s Honor To Pillowtalk,E. M. Charles & M. & P. Abbott & Lori Kornfeld & Mary & Kathie Vogel,Non-Sporting,False
505,2012,Dalmatian,GCh. Spotlights Ruffian,Jim Lyons & Barbara Lyons,Non-Sporting,False
506,2011,Chinese Shar-Pei,GCh. Vaje’s Miss Jayne Hathaway,Jeff Mauk & Vicki Mauk,Non-Sporting,False
507,2010,French Bulldog,Ch. Robobull Fabelhaft Im On Fire,Marion Hulick & S. St John & James Dalton,Non-Sporting,False
508,2009,Poodle (Standard),Ch. Randenn Tristar Affirmation,Toni Sosnoff & Martin Sosnoff,Non-Sporting,False
509,2008,Poodle (Standard),Ch. Brighton Minimoto,Cindy Coggin & Don Rochow & Zuleika Borges Torrealba,Non-Sporting,False
510,2007,Poodle (Standard),Ch. Brighton Minimoto,Cindy Coggin & Don Rochow & Zuleika Borges Torrealba,Non-Sporting,False
511,2006,Dalmatian,Ch. Merry Go Round Mach Ten,Dick Stark & Linda Stark,Non-Sporting,False
512,2005,Tibetan Terrier,Ch. Kimik’s Bare Necessities,Mikki DeMers & Sheryl Rutledge Schultis,Non-Sporting,False
513,2004,Poodle (Standard),Ch. Ale Kai Mikimoto On Fifth,Karen LeFrak & Wendell J. Sammet,Non-Sporting,False
514,2003,Poodle (Standard),Ch. Ale Kai Mikimoto On Fifth,Karen LeFrak & Wendell J. Sammet,Non-Sporting,False
515,2002,Poodle (Miniature),Ch. Surrey Spice Girl,Ron L .Scott & Barbara Scott,Non-Sporting,True
516,2001,Bichon Frise,Ch. Special Times Just Right,"C. Ruggles, E. McDonald & F. Werneck",Non-Sporting,True
517,2000,Poodle (Standard),Ch. Lake Cove That’s My Boy,Mrs. Alan R. Robson,Non-Sporting,False
518,1999,Poodle (Standard),Ch. Lake Cove That’s My Boy,Mrs. Alan R. Robson,Non-Sporting,False
519,1998,Poodle (Standard),Ch. Lake Cove That’s My Boy,Mrs. Alan R. Robson,Non-Sporting,False
520,1997,Dalmatian,Ch. Spotlight’s Spectacular,Mrs. Alan R. Robson,Non-Sporting,False
521,1996,Dalmatian,Ch. Spotlight’s Spectacular,Mrs. Alan R. Robson,Non-Sporting,False
522,1995,Poodle (Miniature),Ch. Surrey Sweet Capsicum,Robert A. Koeppel,Non-Sporting,False
523,1994,Poodle (Standard),Ch. La Marka Nini Oscura,Edward Jenner,Non-Sporting,False
524,1993,Bichon Frise,Ch. Chaminade Larkshire La Fitte,Lois Morrow,Non-Sporting,False
525,1992,Chow Chow,Ch. Lov-Chows Risen Star,"Mr. & Mrs. J. Vaudo, Mr. & Mrs. T. Lovett, M. Larizza",Non-Sporting,False
526,1991,Poodle (Standard),Ch. Whisperwind on a Carousel,Dr. & Mrs. Frederick Hartsock,Non-Sporting,True
527,1990,Bichon Frise,Ch. Chaminade Le Blanc Chamour,L. Morrow & C. & R. Vida,Non-Sporting,False
528,1989,Poodle (Standard),Ch. Ted-El Halo Jet Setter,Robert Koeppel,Non-Sporting,False
529,1988,Poodle (Standard),Ch. Alekai Airy,Tatiana M. Nagro,Non-Sporting,False
530,1987,Bichon Frise,Ch. Devon Puff & Stuff,Nancy H. Shapland,Non-Sporting,False
531,1986,Bichon Frise,Ch. Devon Puff & Stuff,Nancy H. Shapland,Non-Sporting,False
532,1985,Dalmatian,Ch. Fireman’s Freckled Friend,Robert & Mary Peth,Non-Sporting,False
533,1984,Chow Chow,Ch. Wah-Hu Redcloud Sugar Daddy,Mary A. Vaudo & Zola Coogan,Non-Sporting,False
534,1983,Bulldog,Ch. Lodel’s Hi Jacker of Kralan,Nan S. Burke,Non-Sporting,False
535,1982,Poodle (Miniature),Ch. Alcala Salutation of Karelea,Evelina Toledo,Non-Sporting,False
536,1981,Poodle (Miniature),Ch. JLC Critique,Robert A. Koeppel,Non-Sporting,False
537,1980,Poodle (Standard),Ch. Rimskittle Ruffian,M. D. Durney & E. B. Jenner,Non-Sporting,False
538,1979,Poodle (Miniature),Ch. JLC Critique,Rita Cloutier,Non-Sporting,False
539,1978,Bulldog,Ch. Marinebull’s All The Way,Karl & Joyce Dingman,Non-Sporting,False
540,1977,Lhasa Apso,Ch. Yojimbo Orion,Elaine Spaeth,Non-Sporting,False
541,1976,Poodle (Miniature),Ch. Montmartre Supe Lad,Mrs. R. F. Tranchin,Non-Sporting,False
542,1975,Chow Chow,Ch. Mi Tus Han Su Shang,J. C. Frederick Peddie & Herbert E. Williams,Non-Sporting,False
543,1974,Bulldog,Ch. Dey-Del,Robert B. Kullman,Non-Sporting,False
544,1973,Poodle (Standard),Ch. Acadia Command Performance,Edward B Jenner & Jo Anne Sering,Non-Sporting,True
545,1972,Poodle (Miniature),Ch. Tally Ho Tiffany,Mr. & Mrs. Frank Dale and Edward B. Jenner,Non-Sporting,False
546,1971,Poodle (Miniature),Ch. Tally Ho Tiffany,Frank and Susan Dale,Non-Sporting,False
547,1970,Boston Terrier,Ch. Star Q’s Brass Buttons,Dr. K. Eileen Hite,Non-Sporting,False
548,1969,Chow Chow,Ch. Gotschall’s Van Van,Donald Drennan and Mrs Valetta Gotschall,Non-Sporting,False
549,1968,Keeshond,Ch. Flakkee Sweepstakes,Flakkee Kennels,Non-Sporting,False
550,1967,Poodle (Standard),Ch. Alekai Marlaine,Alekai Kennels,Non-Sporting,False
551,1966,Poodle (Miniature),Ch. Round Table Cognac,Round Table Kennels,Non-Sporting,False
552,1965,Poodle (Miniature),Ch. Pixiecroft Sunbeam,Mrs. Gardner Cassatt,Non-Sporting,False
553,1964,Poodle (Miniature),Ch. Tedwin’s Top Billing,Estate of Col. E. E. Ferguson,Non-Sporting,False
554,1963,Dalmatian,Ch. Coachman’s Callisto,Pennydale Kennels,Non-Sporting,False
555,1962,Poodle (Miniature),Ch. Crikora Commotion,Mrs. J. Donald Duncan,Non-Sporting,False
556,1961,Poodle (Miniature),Ch. Estid Ballet Dancer,Col. E. E. Ferguson & Estid Kennels,Non-Sporting,False
557,1960,Bulldog,Ch. Vardona Frosty Snowman,Vardona Kennels,Non-Sporting,False
558,1959,Poodle (Miniature),Ch. Fontclair Festoon,Dunwalke Kennels,Non-Sporting,True
559,1958,Poodle (Standard),Ch. Puttencove Promise,Puttencove Kennels,Non-Sporting,True
560,1957,Dalmatian,Ch. Roadcoach Roadster,"Mrs. S. K. Allman, Jr.",Non-Sporting,False
561,1956,Poodle (Standard),Ch. Alfonco yon der Goldenen Kette,Pennyworth Kennels & Clairedale Kennels,Non-Sporting,False
562,1955,Bulldog,Ch. Kippax Fearnaught,Dr. J. A. Saylor,Non-Sporting,True
563,1954,Bulldog,Kippax Fearnaught,Dr. J. A. Saylor,Non-Sporting,False
564,1953,Poodle (Standard),Ch. Blakeen Bali Hai,Puttencove Kennels,Non-Sporting,False
565,1952,Poodle (Standard),Ch. Ensarr Glace,Mrs. W. French Githens,Non-Sporting,False
566,1951,Poodle (Miniature),Ch. Blakeen Cristoff,Blakeen Kennels,Non-Sporting,False
567,1950,Poodle (Standard),Ch. Puttencove Halla’s Hugo,Puttencove Kennels,Non-Sporting,False
568,1949,Dalmatian,Ch. Swabline of Oz-Dal,Mrs. Blanche S. Osborne,Non-Sporting,False
569,1948,Boston Terrier,Ch. Mighty Sweet Regardless,Claude J. Fitzgerald,Non-Sporting,False
570,1947,Boston Terrier,Ch. Mighty Sweet Regardless,Claude J. Fitzgerald,Non-Sporting,False
571,1946,Boston Terrier,Ch. Emperor’s Ace,Fred H. Lucas,Non-Sporting,False
572,1945,Poodle (Standard),Ch. Blakeen Luzon,Blakeen Kennels,Non-Sporting,False
573,1944,Poodle (Miniature),Ch. Black Magic,George H. Frelinghuysen,Non-Sporting,False
574,1943,Poodle (Miniature),Ch. Pitter Patter of Piperscroft,Mrs. P. H. B. Frelinghuysen,Non-Sporting,True
